lang_id,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17
23,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0
42,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
43,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
49,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
55,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
57,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
59,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
63,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
67,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
68,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
73,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
85,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
90,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
